Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","136","Mauritania","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","6853","Fc","Calculated data"
"TI","Trade Indices","136","Mauritania","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","165677","Fc","Calculated data"
"TI","Trade Indices","136","Mauritania","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","1287","Fc","Calculated data"
"TI","Trade Indices","137","Mauritius","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","604715","Fc","Calculated data"
"TI","Trade Indices","137","Mauritius","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","424014","Fc","Calculated data"
"TI","Trade Indices","137","Mauritius","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","472960","Fc","Calculated data"
"TI","Trade Indices","137","Mauritius","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","413492","Fc","Calculated data"
"TI","Trade Indices","138","Mexico","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","16280387","Fc","Calculated data"
"TI","Trade Indices","138","Mexico","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","12418084","Fc","Calculated data"
"TI","Trade Indices","138","Mexico","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","14011449","Fc","Calculated data"
"TI","Trade Indices","138","Mexico","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","9861182","Fc","Calculated data"
"TI","Trade Indices","141","Mongolia","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","415005","Fc","Calculated data"
"TI","Trade Indices","141","Mongolia","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","49687","Fc","Calculated data"
"TI","Trade Indices","141","Mongolia","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","344469","Fc","Calculated data"
"TI","Trade Indices","141","Mongolia","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","39452","Fc","Calculated data"
"TI","Trade Indices","143","Morocco","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","2759134","Fc","Calculated data"
"TI","Trade Indices","143","Morocco","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","1153826","Fc","Calculated data"
"TI","Trade Indices","143","Morocco","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","2377140","Fc","Calculated data"
"TI","Trade Indices","143","Morocco","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","1091471","Fc","Calculated data"
